Gene	Num_CDS_Automated	Num_CDS_Deposited	Num_Genes_Automated	Num_Genes_Deposited	Num_mRNA_Automated	Num_mRNA_Deposited	Other/MiscFeatures_Automated	Other/MiscFeatures_Deposited	Logged_Mismatches(Sample)
IRS1	1	1	1	1	0	1	0	0	0
RL10	1	1	1	1	0	1	0	0	0
RL11	1	1	1	1	0	1	0	0	0
RL12	1	1	1	1	0	1	0	0	0
RL13	1	1	1	1	0	1	0	0	0
RL1	1	1	1	1	1	1	3	0	0
RL5A	1	1	1	1	1	1	2	0	0
RL6	1	1	1	1	1	1	3	0	0
RL8A	1	1	1	1	1	1	2	0	0
RL9A	1	1	1	1	2	1	4	0	0
TRS1	1	1	1	1	0	1	0	0	0
UL100	1	1	1	1	0	1	0	0	0
UL102	1	1	1	1	0	1	0	0	0
UL103	1	1	1	1	0	1	0	0	0
UL104	1	1	1	1	0	1	0	0	0
UL105	1	1	1	1	0	1	0	0	0
UL10	1	1	1	1	0	1	0	0	0
UL111A	3	3	1	1	0	1	0	0	0
UL112	2	2	1	1	0	1	2	0	0
UL114	1	1	1	1	0	1	0	0	0
UL115	1	1	1	1	0	1	0	0	0
UL116	1	1	1	1	0	1	0	0	0
UL117	1	1	1	1	0	1	0	0	0
UL119	2	2	1	1	0	1	0	0	1
UL11	1	1	1	1	0	1	0	0	0
UL120	1	1	1	1	0	1	0	0	0
UL121	1	1	1	1	0	1	0	0	0
UL122	3	3	1	1	0	1	0	0	0
UL123	3	3	1	1	0	1	0	0	0
UL124	1	1	1	1	1	1	4	0	0
UL130	1	1	1	1	0	1	0	0	0
UL131A	2	2	1	1	0	1	0	0	0
UL132	1	1	1	1	0	1	0	0	0
UL133	1	1	1	1	0	1	0	0	0
UL135	1	1	1	1	0	1	0	0	0
UL136	1	1	1	1	0	1	0	0	0
UL138	1	1	1	1	0	1	0	0	0
UL139	1	1	1	1	0	1	0	0	0
UL13	1	1	1	1	0	1	0	0	0
UL140	1	1	1	1	0	1	0	0	0
UL141	1	1	1	1	0	1	0	0	0
UL142	1	1	1	1	0	1	0	0	0
UL144	1	1	1	1	0	1	0	0	0
UL145	1	1	1	1	0	1	0	0	0
UL146	1	1	1	1	0	1	0	0	0
UL147A	1	1	1	1	0	1	0	0	0
UL147	1	1	1	1	0	1	0	0	0
UL148A	1	1	1	1	0	1	0	0	0
UL148B	1	1	1	1	0	1	0	0	0
UL148C	1	1	1	1	0	1	0	0	0
UL148D	1	1	1	1	1	1	6	0	0
UL148	1	1	1	1	0	1	0	0	0
UL14	1	1	1	1	0	1	0	0	0
UL150A	2	2	1	1	1	1	4	0	0
UL150	1	1	1	1	0	1	0	0	0
UL15A	1	1	1	1	0	1	0	0	0
UL16	1	1	1	1	0	1	0	0	0
UL17	1	1	1	1	0	1	0	0	0
UL18	1	1	1	1	0	1	0	0	0
UL19	1	1	1	1	0	1	0	0	0
UL1	1	1	1	1	0	1	0	0	0
UL20	1	1	1	1	0	1	0	0	0
UL21A	1	1	1	1	0	1	0	0	0
UL22A	2	2	1	1	0	1	4	0	0
UL23	1	1	1	1	0	1	0	0	0
UL24	1	1	1	1	0	1	0	0	0
UL25	1	1	1	1	0	1	0	0	0
UL26	1	1	1	1	0	1	0	0	0
UL27	1	1	1	1	0	1	0	0	0
UL29	2	2	1	1	0	1	0	0	0
UL2	1	1	1	1	0	1	0	0	0
UL30A	1	0	1	1	1	0	1	2	0
UL30	1	1	1	1	0	1	0	0	0
UL31	1	1	1	1	0	1	0	0	0
UL32	1	1	1	1	0	1	0	0	0
UL33	2	2	1	1	0	1	0	0	0
UL34	1	1	1	1	0	1	0	0	0
UL35	1	1	1	1	0	1	0	0	0
UL36	2	2	1	1	0	1	4	0	0
UL37	3	3	1	1	0	1	0	0	0
UL38	1	1	1	1	0	1	0	0	0
UL40	1	1	1	1	2	1	4	0	0
UL41A	1	1	1	1	1	1	2	0	0
UL42	1	1	1	1	0	1	0	0	0
UL43	1	1	1	1	0	1	0	0	0
UL44	1	1	1	1	0	1	0	0	0
UL45	1	1	1	1	0	1	0	0	0
UL46	1	1	1	1	0	1	0	0	0
UL47	1	1	1	1	0	1	0	0	0
UL48A	1	1	1	1	1	1	3	0	0
UL48	1	1	1	1	0	1	0	0	0
UL49	1	1	1	1	0	1	0	0	0
UL4	1	1	1	1	0	1	0	0	0
UL50	1	1	1	1	0	1	0	0	0
UL51	1	1	1	1	0	1	0	0	0
UL52	1	1	1	1	0	1	0	0	0
UL53	1	1	1	1	0	1	2	0	0
UL54	1	1	1	1	0	1	0	0	0
UL55	1	1	1	1	0	1	0	0	0
UL56	1	1	1	1	0	1	0	0	0
